,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
0,"[0.0, 556.0, 3.7687907026949232, 10.451290702253328, 44413, 0.0, 1.0, 3.0, 17.0]","[-2, 18522, 112.86486864868648, 401.52448207786114, 0, 0.0, 3, 40.0, 587.0]","[0.0, 65535.0, 40.743723500253409, 538.8220464093331, 19102, 3.0, 8.0, 23.0, 109.0]","[0.0, 417.0, 8.2801839309016341, 10.836337304190273, 19534, 2.0, 5.0, 11.0, 29.0]","[0.0, 1741128.0, 17592.684330998854, 65798.238286670661, 4760, 228.0, 2213.0, 10209.0, 55473.499999999956]","[0.0, 16290.0, 139.68508405324931, 371.77609153232328, 25106, 9.0, 37.0, 122.0, 594.0]","[0.0, 8807.0, 15.22225020990764, 65.460811559235609, 4719, 0.0, 3.0, 11.0, 61.0]","[0.0, 4677.0, 13.574740719977576, 46.541818221650168, 107, 2.0, 8.0, 20.0, 42.0]","[0.0, 12661.0, 125.29599076406382, 286.41699377604488, 4719, 10.0, 40.0, 120.0, 524.0]","[0.0, 6.0, 0.62012017414456877, 0.67705633587673253, 44413, 0.0, 1.0, 1.0, 2.0]","[0.0, 104.0, 2.4002938706968933, 4.6299437781310679, 4719, 0.0, 1.0, 2.0, 9.0]","[0.0, 493.0, 0.93777388255915861, 5.327668353607895, 77179, 0.0, 0.0, 1.0, 4.0]","[0.0, 6558.0, 11.607506369228858, 52.044866492128193, 19534, 2.0, 5.0, 13.0, 39.0]","['05db9164', 0.50197, 99999, 541]","['38a947a1', 0.12895, 99999, 497]","['d032c263', 0.03703, 96064, 43869]","['c18be181', 0.0541, 96064, 25183]","['25c83c98', 0.67056, 99999, 145]","['7e0ccccf', 0.46437, 86291, 11]","['3f4ec687', 0.00957, 99999, 7623]","['0b153874', 0.59265, 99999, 257]","['a73ee510', 0.88523, 99999, 3]","['3b08e48b', 0.26595, 99999, 10997]","['c4adf918', 0.02118, 99999, 3799]","['dfbb09fb', 0.03703, 96064, 41311]","['85dbe138', 0.02327, 99999, 2796]","['07d13a8f', 0.36314, 99999, 26]","['36721ddc', 0.02054, 99999, 5238]","['84898b2a', 0.03703, 96064, 34616]","['e5ba7672', 0.42704, 99999, 10]","['5aed7436', 0.05348, 99999, 2548]","['21ddcdc9', 0.3415, 58528, 1302]","['5840adea', 0.21516, 58528, 3]","['0014c32a', 0.03703, 96064, 38617]","['ad3062eb', 0.0964, 18433, 10]","['32c7478e', 0.43969, 99999, 14]","['1793a828', 0.06941, 96064, 12334]","['e8b83407', 0.18487, 58528, 50]","['49d68486', 0.05046, 58528, 9526]"
1,"[0.0, 780.0, 3.7960939969791703, 11.562429407697135, 43061, 0.0, 1.0, 3.0, 16.0]","[-2, 16742, 99.020240202402022, 359.5749274252961, 0, 0.0, 3, 37.0, 494.0]","[0.0, 65535.0, 36.628351944451644, 594.34905386369996, 22805, 2.0, 6.0, 16.0, 83.0]","[0.0, 246.0, 6.9863594822059447, 9.7639877659142567, 26688, 2.0, 4.0, 9.0, 25.0]","[0.0, 2513122.0, 18206.97041763943, 65394.962441843258, 3624, 565.0, 2298.0, 10419.0, 65296.800000000076]","[0.0, 233523.0, 123.3629070990018, 955.64286456018363, 22960, 7.0, 30.0, 96.0, 490.0]","[0.0, 6162.0, 18.212197081129577, 74.860392413785107, 4140, 1.0, 3.0, 12.0, 72.0]","[0.0, 5064.0, 14.290882879996797, 76.277610133872514, 110, 2.0, 7.0, 20.0, 42.0]","[0.0, 7780.0, 115.7423298803451, 253.4053268814998, 4140, 11.0, 41.0, 115.0, 468.09999999999127]","[0.0, 7.0, 0.65938389125013175, 0.73149452269560533, 43061, 0.0, 1.0, 1.0, 2.0]","[0.0, 133.0, 2.8328378138724584, 5.7011318371235671, 4140, 0.0, 1.0, 3.0, 11.0]","[0.0, 716.0, 0.78180628272251307, 6.0872899525808313, 77079, 0.0, 0.0, 0.0, 3.0]","[0.0, 6702.0, 10.087776732004746, 88.199860635565997, 26688, 2.0, 4.0, 9.0, 30.0]","['05db9164', 0.50288, 99999, 539]","['1cfdf714', 0.14849, 99999, 498]","['d032c263', 0.03676, 96239, 45610]","['c18be181', 0.04962, 96239, 25537]","['25c83c98', 0.67131, 99999, 136]","['7e0ccccf', 0.39735, 85976, 11]","['7195046d', 0.04028, 99999, 7383]","['0b153874', 0.59395, 99999, 277]","['a73ee510', 0.88472, 99999, 3]","['3b08e48b', 0.21424, 99999, 10816]","['4d8549da', 0.05883, 99999, 3673]","['dfbb09fb', 0.03676, 96239, 41990]","['51b97b8f', 0.05883, 99999, 2736]","['b28479f6', 0.35377, 99999, 25]","['d345b1a0', 0.04582, 99999, 5017]","['84898b2a', 0.03676, 96239, 35416]","['e5ba7672', 0.46476, 99999, 10]","['e88ffc9d', 0.13323, 99999, 2440]","['21ddcdc9', 0.27894, 55472, 1320]","['a458ea53', 0.22791, 55472, 3]","['0014c32a', 0.03676, 96239, 39163]","['ad3062eb', 0.1465, 23483, 13]","['32c7478e', 0.37409, 99999, 15]","['3fdb382b', 0.07364, 96239, 12503]","['cb079c2d', 0.1577, 55472, 51]","['49d68486', 0.0515, 55472, 9603]"
2,"[0.0, 429.0, 3.0608066607520645, 8.3581731631290062, 41387, 0.0, 1.0, 3.0, 14.0]","[-2, 8611, 77.903859038590383, 299.66836896748907, 0, 0.0, 3, 30.0, 340.09999999999127]","[0.0, 65535.0, 19.883198161665316, 500.45227166271849, 26019, 2.0, 5.0, 12.0, 46.0]","[0.0, 204.0, 6.3120568371688126, 7.5982357438723724, 28778, 2.0, 4.0, 8.0, 22.0]","[0.0, 2099229.0, 18427.482006219569, 65375.464085506806, 2243, 851.0, 2579.0, 10759.0, 64510.25]","[0.0, 37118.0, 119.66958699980731, 393.53122913355429, 22154, 8.0, 32.0, 101.0, 478.80000000000291]","[0.0, 4771.0, 15.15893459133938, 56.96140056002745, 4186, 1.0, 3.0, 11.0, 60.0]","[0.0, 3995.0, 13.114026135158392, 27.325854789232395, 57, 2.0, 8.0, 20.0, 43.0]","[0.0, 7777.0, 108.26723930990575, 216.75910400096527, 4186, 11.0, 40.0, 114.0, 440.0]","[0.0, 7.0, 0.54304579267044295, 0.6845596056325991, 41387, 0.0, 0.0, 1.0, 2.0]","[0.0, 131.0, 2.6727688309519584, 5.1169160768705968, 4186, 0.0, 1.0, 3.0, 10.0]","[0.0, 264.0, 0.72029816994011475, 4.7524746419371935, 76120, 0.0, 0.0, 0.0, 2.0]","[0.0, 3957.0, 6.5094424397298551, 30.278643921589399, 28778, 1.0, 3.0, 8.0, 22.0]","['05db9164', 0.5018, 99999, 534]","['38a947a1', 0.12377, 99999, 487]","['d032c263', 0.02854, 96089, 42824]","['29998ed1', 0.04639, 96089, 22008]","['25c83c98', 0.67389, 99999, 138]","['7e0ccccf', 0.34434, 86102, 12]","['7195046d', 0.02237, 99999, 7337]","['0b153874', 0.59501, 99999, 267]","['a73ee510', 0.89725, 99999, 3]","['3b08e48b', 0.18564, 99999, 11121]","['e51ddf94', 0.03515, 99999, 3627]","['6aaba33c', 0.04639, 96089, 36791]","['3516f6e6', 0.03888, 99999, 2718]","['b28479f6', 0.35427, 99999, 25]","['2d0bb053', 0.03281, 99999, 4803]","['b041b04a', 0.04639, 96089, 30630]","['e5ba7672', 0.4755, 99999, 10]","['e88ffc9d', 0.08002, 99999, 2365]","['21ddcdc9', 0.2736, 48811, 1201]","['a458ea53', 0.19686, 48811, 3]","['723b4dfd', 0.04639, 96089, 33975]","['ad3062eb', 0.15151, 24655, 11]","['32c7478e', 0.3983, 99999, 15]","['b34f3128', 0.07014, 96089, 10615]","['001f3601', 0.13326, 48811, 48]","['49d68486', 0.04261, 48811, 8107]"
3,"[0.0, 404.0, 3.0693438105929176, 8.3888337803320621, 41205, 0.0, 1.0, 3.0, 14.0]","[-2, 9065, 79.875478754787551, 301.41669879942094, 0, 0.0, 2, 30.0, 351.0]","[0.0, 59886.0, 15.870311055121487, 300.81317140067574, 25382, 2.0, 5.0, 12.0, 46.0]","[0.0, 194.0, 6.4972147522089898, 7.6907636585176977, 27115, 2.0, 4.0, 8.0, 22.0]","[0.0, 2154720.0, 18568.301188094556, 67541.308223397471, 2027, 912.0, 2559.0, 10105.0, 64238.949999999852]","[0.0, 17183.0, 114.99128859865056, 317.45993973174427, 21596, 8.0, 33.0, 101.0, 465.0]","[0.0, 3020.0, 14.646601517374879, 56.429204236178656, 3912, 1.0, 3.0, 11.0, 57.0]","[0.0, 3874.0, 13.31540347190955, 22.075595829898845, 54, 2.0, 8.0, 21.0, 43.0]","[0.0, 8005.0, 105.24008450674908, 204.30742102828086, 3912, 11.0, 40.0, 112.0, 425.0]","[0.0, 8.0, 0.51180392557063648, 0.66282973412197499, 41205, 0.0, 0.0, 1.0, 2.0]","[0.0, 110.0, 2.5734178400824255, 4.8678472882079609, 3912, 1.0, 1.0, 3.0, 10.0]","[0.0, 768.0, 0.89354893762266407, 8.3578429915707595, 76561, 0.0, 0.0, 0.0, 3.0]","[0.0, 3328.0, 6.4406591295757645, 19.264506198061117, 27115, 2.0, 4.0, 8.0, 22.0]","['05db9164', 0.50121, 99999, 528]","['38a947a1', 0.11213, 99999, 496]","['d032c263', 0.02672, 96224, 41446]","['29998ed1', 0.047, 96224, 21184]","['25c83c98', 0.6734, 99999, 141]","['7e0ccccf', 0.33924, 87250, 13]","['dc7659bd', 0.01667, 99999, 7455]","['0b153874', 0.59402, 99999, 258]","['a73ee510', 0.90209, 99999, 3]","['3b08e48b', 0.18802, 99999, 11278]","['e51ddf94', 0.03316, 99999, 3691]","['6aaba33c', 0.047, 96224, 35349]","['3516f6e6', 0.03688, 99999, 2741]","['b28479f6', 0.35151, 99999, 26]","['2d0bb053', 0.0338, 99999, 4834]","['b041b04a', 0.047, 96224, 29233]","['e5ba7672', 0.47496, 99999, 10]","['e88ffc9d', 0.05724, 99999, 2366]","['21ddcdc9', 0.28819, 48818, 1222]","['a458ea53', 0.18681, 48818, 3]","['723b4dfd', 0.047, 96224, 32537]","['ad3062eb', 0.16961, 26557, 10]","['32c7478e', 0.38927, 99999, 14]","['b34f3128', 0.06982, 96224, 10160]","['001f3601', 0.14429, 48818, 52]","['49d68486', 0.03999, 48818, 7964]"
4,"[0.0, 694.0, 3.1034943016530341, 8.723920150921705, 41561, 0.0, 1.0, 3.0, 13.0]","[-2, 8776, 84.749827498274982, 323.67706835862941, 0, 0.0, 2, 30.0, 372.0]","[0.0, 65535.0, 15.432608782143946, 256.73013687019596, 24596, 2.0, 5.0, 12.0, 48.0]","[0.0, 112.0, 6.5906442280265676, 7.6461899283087016, 26376, 2.0, 4.0, 9.0, 22.0]","[0.0, 1916177.0, 18650.955339746401, 68076.851964623289, 1970, 938.0, 2580.0, 10670.0, 64242.799999999886]","[0.0, 20026.0, 113.06085982640568, 320.19182594733519, 21425, 8.0, 33.0, 102.0, 455.0]","[0.0, 2913.0, 13.955768448924703, 49.147329251307461, 4072, 1.0, 3.0, 10.0, 55.0]","[0.0, 798.0, 13.244514263415414, 13.832123287125057, 58, 2.0, 8.0, 21.0, 43.0]","[0.0, 5631.0, 102.8408373033661, 195.11784489164035, 4072, 11.0, 40.0, 111.0, 416.0]","[0.0, 7.0, 0.53003182860467501, 0.66485191345190409, 41561, 0.0, 0.0, 1.0, 2.0]","[0.0, 109.0, 2.5019963096938298, 4.6463930358180994, 4072, 1.0, 1.0, 3.0, 9.0]","[0.0, 753.0, 0.91669560687619378, 6.6464603153932931, 76963, 0.0, 0.0, 0.0, 3.0]","[0.0, 589.0, 6.4576015647284137, 8.5079621627976501, 26376, 2.0, 4.0, 8.0, 22.0]","['05db9164', 0.50036, 99999, 535]","['38a947a1', 0.10437, 99999, 500]","['d032c263', 0.02891, 96327, 40804]","['29998ed1', 0.04204, 96327, 21200]","['25c83c98', 0.67244, 99999, 146]","['7e0ccccf', 0.33823, 88584, 12]","['dc7659bd', 0.01592, 99999, 7596]","['0b153874', 0.59527, 99999, 251]","['a73ee510', 0.90232, 99999, 3]","['3b08e48b', 0.19673, 99999, 11570]","['e51ddf94', 0.03063, 99999, 3746]","['6aaba33c', 0.04204, 96327, 35029]","['3516f6e6', 0.03399, 99999, 2776]","['b28479f6', 0.34504, 99999, 26]","['2d0bb053', 0.03132, 99999, 4851]","['b041b04a', 0.04204, 96327, 29134]","['e5ba7672', 0.47369, 99999, 10]","['2804effd', 0.05036, 99999, 2397]","['21ddcdc9', 0.30109, 49501, 1214]","['a458ea53', 0.1829, 49501, 3]","['723b4dfd', 0.04204, 96327, 32360]","['ad3062eb', 0.18277, 27659, 9]","['32c7478e', 0.38151, 99999, 14]","['b34f3128', 0.06517, 96327, 10248]","['001f3601', 0.14886, 49501, 48]","['49d68486', 0.04009, 49501, 8051]"
5,"[0.0, 279.0, 3.0633663366336634, 8.0066684633217413, 41924, 0.0, 1.0, 3.0, 13.0]","[-2, 6279, 87.462564625646252, 330.61239766115324, 0, 0.0, 2, 30.0, 391.0]","[0.0, 14893.0, 14.370655861040349, 91.274151401731217, 24236, 2.0, 5.0, 13.0, 48.0]","[0.0, 507.0, 6.7560408234613885, 8.1528475253345736, 25630, 2.0, 4.0, 9.0, 23.0]","[0.0, 2178443.0, 18780.200710008467, 67789.586173093048, 1972, 931.0, 2570.0, 10084.0, 65606.599999999948]","[0.0, 43751.0, 112.28862728073648, 351.28383081364865, 21680, 8.0, 32.0, 99.0, 447.0]","[0.0, 3464.0, 13.904713818734514, 52.924771497461137, 3941, 1.0, 3.0, 10.0, 54.0]","[0.0, 980.0, 13.2750667880692, 14.332192093075076, 56, 2.0, 8.0, 21.0, 43.0]","[0.0, 7662.0, 99.542661725207694, 192.91101144016193, 3941, 10.0, 38.0, 107.0, 404.0]","[0.0, 7.0, 0.54538097287989673, 0.66765366436376683, 41924, 0.0, 0.0, 1.0, 2.0]","[0.0, 119.0, 2.4659580670011869, 4.809849386680753, 3941, 0.0, 1.0, 3.0, 9.0]","[0.0, 250.0, 1.0512416239653133, 5.5371746769554511, 77166, 0.0, 0.0, 0.0, 4.0]","[0.0, 507.0, 6.6375236993908748, 8.6825976354532379, 25630, 2.0, 4.0, 9.0, 23.0]","['05db9164', 0.50026, 99999, 521]","['38a947a1', 0.10391, 99999, 497]","['d032c263', 0.02873, 96592, 40950]","['29998ed1', 0.04128, 96592, 21426]","['25c83c98', 0.67143, 99999, 147]","['7e0ccccf', 0.34074, 88598, 12]","['dc7659bd', 0.01532, 99999, 7664]","['0b153874', 0.5957, 99999, 272]","['a73ee510', 0.90246, 99999, 3]","['3b08e48b', 0.20684, 99999, 11484]","['e51ddf94', 0.02913, 99999, 3760]","['6aaba33c', 0.04128, 96592, 35090]","['3516f6e6', 0.03252, 99999, 2780]","['b28479f6', 0.34801, 99999, 25]","['2d0bb053', 0.03025, 99999, 4871]","['b041b04a', 0.04128, 96592, 29219]","['e5ba7672', 0.46947, 99999, 10]","['2804effd', 0.04867, 99999, 2390]","['21ddcdc9', 0.30894, 49933, 1230]","['a458ea53', 0.18293, 49933, 3]","['723b4dfd', 0.04128, 96592, 32428]","['ad3062eb', 0.18273, 27732, 12]","['32c7478e', 0.38264, 99999, 15]","['b34f3128', 0.06716, 96592, 10339]","['001f3601', 0.15445, 49933, 50]","['49d68486', 0.03892, 49933, 8118]"
6,"[0.0, 341.0, 3.0850020715370805, 8.1229008966827383, 42071, 0.0, 1.0, 3.0, 14.0]","[-2, 12358, 90.704377043770435, 342.26689986114127, 0, 0.0, 2, 31.0, 410.09999999999127]","[0.0, 24168.0, 15.42546258734853, 126.23751431000923, 23581, 2.0, 5.0, 13.0, 50.0]","[0.0, 216.0, 6.9336853528135087, 8.2092316261405482, 24435, 2.0, 4.0, 9.0, 23.0]","[0.0, 2455901.0, 18994.397684972719, 69016.871859794628, 1944, 930.0, 2583.0, 10118.0, 65960.100000000079]","[0.0, 25265.0, 112.52573651744349, 314.08184500486158, 21861, 8.0, 33.0, 102.0, 456.14999999999418]","[0.0, 5555.0, 13.782451384182263, 57.02935724567962, 4094, 1.0, 3.0, 10.0, 53.0]","[0.0, 999.0, 13.36805242883586, 14.143996301881227, 54, 3.0, 8.0, 21.0, 43.0]","[0.0, 6662.0, 100.0290600072989, 196.52171628747354, 4094, 10.0, 38.0, 106.0, 406.0]","[0.0, 6.0, 0.56021267780693274, 0.67434737952965529, 42071, 0.0, 0.0, 1.0, 2.0]","[0.0, 122.0, 2.4263385642041602, 4.6213951818279586, 4094, 0.0, 1.0, 3.0, 9.0]","[0.0, 254.0, 1.0627948375611926, 5.3949633754650259, 77529, 0.0, 0.0, 1.0, 4.0]","[0.0, 602.0, 6.821515536498862, 8.8052807777830679, 24435, 2.0, 4.0, 9.0, 23.0]","['05db9164', 0.50051, 99999, 526]","['38a947a1', 0.0984, 99999, 495]","['d032c263', 0.03011, 96536, 40585]","['29998ed1', 0.03988, 96536, 21108]","['25c83c98', 0.66958, 99999, 146]","['7e0ccccf', 0.34795, 89258, 11]","['dc7659bd', 0.01455, 99999, 7726]","['0b153874', 0.59469, 99999, 251]","['a73ee510', 0.90172, 99999, 3]","['3b08e48b', 0.20709, 99999, 11525]","['e51ddf94', 0.02865, 99999, 3798]","['6aaba33c', 0.03988, 96536, 34839]","['3516f6e6', 0.03138, 99999, 2798]","['b28479f6', 0.34963, 99999, 25]","['2d0bb053', 0.02913, 99999, 4824]","['b041b04a', 0.03988, 96536, 28973]","['e5ba7672', 0.46401, 99999, 10]","['2804effd', 0.04688, 99999, 2385]","['21ddcdc9', 0.31827, 50639, 1232]","['b1252a9d', 0.18027, 50639, 3]","['723b4dfd', 0.03988, 96536, 32162]","['ad3062eb', 0.18607, 28228, 11]","['32c7478e', 0.38131, 99999, 15]","['b34f3128', 0.06567, 96536, 10293]","['001f3601', 0.16178, 50639, 55]","['49d68486', 0.03681, 50639, 8054]"
7,"[0.0, 505.0, 3.1252434951996659, 7.9903750274466363, 42503, 0.0, 1.0, 3.0, 14.0]","[-2, 8051, 95.390383903839037, 351.65632433576468, 0, 0.0, 2, 32.0, 450.0]","[0.0, 22991.0, 15.879778357235985, 138.54993679983707, 23299, 2.0, 5.0, 14.0, 52.0]","[0.0, 321.0, 7.0067851883021248, 8.3254261791915525, 23951, 2.0, 4.0, 9.0, 24.0]","[0.0, 2192428.0, 18852.116861129241, 69063.444362370559, 1951, 920.0, 2576.5, 10082.0, 65070.249999999854]","[0.0, 28215.0, 112.3002576004897, 311.91817201996861, 21583, 8.0, 32.0, 101.0, 458.0]","[0.0, 4064.0, 13.572576866611831, 54.360061565667891, 3956, 1.0, 3.0, 10.0, 53.0]","[0.0, 1750.0, 13.280135279815092, 15.36988550881374, 58, 2.0, 8.0, 21.0, 43.0]","[0.0, 10528.0, 99.74973709692533, 201.89322858618149, 3956, 10.0, 37.0, 105.0, 402.0]","[0.0, 6.0, 0.58023166828996797, 0.67692633290650506, 42503, 0.0, 0.0, 1.0, 2.0]","[0.0, 123.0, 2.4193330070905739, 4.6090734257763444, 3956, 0.0, 1.0, 2.0, 9.0]","[0.0, 213.0, 1.0890419976302277, 5.5179157857767516, 77212, 0.0, 0.0, 1.0, 4.0]","[0.0, 1919.0, 7.0527298548285291, 12.074620033349149, 23951, 2.0, 4.0, 9.0, 24.0]","['05db9164', 0.49828, 99999, 519]","['38a947a1', 0.10156, 99999, 496]","['d032c263', 0.0304, 96470, 41384]","['29998ed1', 0.03911, 96470, 21837]","['25c83c98', 0.67035, 99999, 147]","['7e0ccccf', 0.35023, 89431, 11]","['dc7659bd', 0.01362, 99999, 7791]","['0b153874', 0.59495, 99999, 247]","['a73ee510', 0.9027, 99999, 3]","['3b08e48b', 0.21015, 99999, 11573]","['e51ddf94', 0.027, 99999, 3825]","['6aaba33c', 0.03911, 96470, 35740]","['3516f6e6', 0.02988, 99999, 2805]","['b28479f6', 0.34936, 99999, 25]","['2d0bb053', 0.0282, 99999, 4977]","['b041b04a', 0.03911, 96470, 29822]","['e5ba7672', 0.46307, 99999, 10]","['2804effd', 0.04455, 99999, 2426]","['21ddcdc9', 0.31975, 51015, 1232]","['b1252a9d', 0.18162, 51015, 3]","['723b4dfd', 0.03911, 96470, 33024]","['ad3062eb', 0.18473, 28234, 9]","['32c7478e', 0.37776, 99999, 15]","['b34f3128', 0.06521, 96470, 10574]","['001f3601', 0.15793, 51015, 50]","['49d68486', 0.03718, 51015, 8263]"
8,"[0.0, 601.0, 3.1987867232862466, 8.8468274265295701, 42304, 0.0, 1.0, 3.0, 14.0]","[-2, 8418, 106.18839188391884, 383.13790597114354, 0, 0.0, 3, 34.0, 542.0]","[0.0, 27642.0, 17.015537698128444, 163.1364838993745, 23218, 2.0, 5.0, 14.0, 54.0]","[0.0, 284.0, 7.0081728572361124, 8.1243781982740284, 23404, 2.0, 4.0, 9.0, 24.0]","[0.0, 2002965.0, 18715.122969719228, 68113.21028121571, 1983, 892.0, 2571.0, 10065.0, 64557.0]","[0.0, 116533.0, 111.73877561429683, 526.61205368714059, 21576, 8.0, 32.0, 100.0, 444.0]","[0.0, 4576.0, 13.712885707746405, 54.679403488529267, 3877, 1.0, 3.0, 10.0, 53.0]","[0.0, 811.0, 13.203639965581415, 13.865223315456491, 53, 2.0, 8.0, 21.0, 43.0]","[0.0, 19327.0, 98.950822912548631, 204.23084487245046, 3877, 10.0, 37.0, 104.0, 399.0]","[0.0, 6.0, 0.58821388335211022, 0.67412581706508723, 42304, 0.0, 0.0, 1.0, 2.0]","[0.0, 123.0, 2.3968706435571461, 4.5547296453685915, 3877, 0.0, 1.0, 2.0, 9.0]","[0.0, 241.0, 1.2287621623980103, 6.4225894537967658, 77080, 0.0, 0.0, 1.0, 5.0]","[0.0, 588.0, 7.1175272537371894, 9.0637839382102339, 23404, 2.0, 4.0, 9.0, 25.0]","['05db9164', 0.49879, 99999, 554]","['38a947a1', 0.10178, 99999, 503]","['d032c263', 0.0294, 96559, 42041]","['c18be181', 0.03745, 96559, 22305]","['25c83c98', 0.67205, 99999, 143]","['7e0ccccf', 0.35562, 89510, 13]","['dc7659bd', 0.01293, 99999, 7799]","['0b153874', 0.59351, 99999, 259]","['a73ee510', 0.90274, 99999, 3]","['3b08e48b', 0.21139, 99999, 11563]","['e51ddf94', 0.02539, 99999, 3836]","['6aaba33c', 0.03738, 96559, 36466]","['3516f6e6', 0.02839, 99999, 2814]","['b28479f6', 0.3516, 99999, 26]","['2d0bb053', 0.02631, 99999, 4921]","['b041b04a', 0.03738, 96559, 30513]","['e5ba7672', 0.46225, 99999, 10]","['2804effd', 0.04092, 99999, 2434]","['21ddcdc9', 0.32, 51486, 1237]","['b1252a9d', 0.18509, 51486, 3]","['723b4dfd', 0.03738, 96559, 33815]","['ad3062eb', 0.1844, 28231, 11]","['32c7478e', 0.3777, 99999, 15]","['b34f3128', 0.06374, 96559, 10727]","['001f3601', 0.15433, 51486, 53]","['49d68486', 0.03794, 51486, 8321]"
9,"[0.0, 421.0, 3.1487253604513477, 8.3686196500563046, 42571, 0.0, 1.0, 3.0, 14.0]","[-2, 11389, 105.50027500275003, 387.43998380684127, 0, 0.0, 3, 33.0, 525.0]","[0.0, 45445.0, 18.156092505020407, 230.25081166919907, 22814, 2.0, 6.0, 15.0, 57.0]","[0.0, 214.0, 7.0185298522039199, 8.2416136172172063, 23204, 2.0, 4.0, 9.0, 24.0]","[0.0, 2527030.0, 19342.320648566965, 70403.298398080413, 2060, 885.0, 2581.0, 10091.0, 69924.399999999878]","[0.0, 14052.0, 109.13232228942624, 284.81904141917744, 21796, 8.0, 32.0, 99.0, 446.0]","[0.0, 4060.0, 13.765841166734331, 56.777547650928774, 3936, 1.0, 3.0, 10.0, 53.0]","[0.0, 1839.0, 13.12254862723125, 14.868861677386674, 55, 2.0, 8.0, 20.0, 43.0]","[0.0, 8512.0, 99.031167046625654, 202.25799058203427, 3936, 10.0, 37.0, 103.5, 401.0]","[0.0, 6.0, 0.59359545866128016, 0.67105105105029483, 42571, 0.0, 1.0, 1.0, 2.0]","[0.0, 147.0, 2.3846642307652268, 4.5574505451987442, 3936, 0.0, 1.0, 2.0, 9.0]","[0.0, 136.0, 1.1340192644483362, 5.1217959093798999, 77159, 0.0, 0.0, 1.0, 4.0]","[0.0, 565.0, 7.2475812227358549, 9.3004723298833305, 23204, 2.0, 4.0, 9.0, 25.0]","['05db9164', 0.50009, 99999, 555]","['38a947a1', 0.10368, 99999, 500]","['d032c263', 0.03158, 96545, 41711]","['c18be181', 0.03876, 96545, 22348]","['25c83c98', 0.6708, 99999, 127]","['7e0ccccf', 0.35722, 89646, 12]","['dc7659bd', 0.01322, 99999, 7792]","['0b153874', 0.59187, 99999, 251]","['a73ee510', 0.89939, 99999, 3]","['3b08e48b', 0.21499, 99999, 11538]","['e51ddf94', 0.0262, 99999, 3821]","['6aaba33c', 0.03411, 96545, 36546]","['3516f6e6', 0.02912, 99999, 2800]","['b28479f6', 0.34863, 99999, 26]","['2d0bb053', 0.02422, 99999, 5007]","['b041b04a', 0.03411, 96545, 30459]","['e5ba7672', 0.45699, 99999, 10]","['2804effd', 0.0385, 99999, 2476]","['21ddcdc9', 0.32447, 51891, 1229]","['b1252a9d', 0.18531, 51891, 3]","['723b4dfd', 0.03411, 96545, 33829]","['ad3062eb', 0.18142, 27827, 9]","['32c7478e', 0.37334, 99999, 14]","['b34f3128', 0.06019, 96545, 10823]","['001f3601', 0.15527, 51891, 51]","['49d68486', 0.03882, 51891, 8340]"
